District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,State,District,Latitude,Longitude,sex_ratio,literacy_rate
622,1339101,5773,314270,Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,100.0,72.0
623,3038252,34097,754141,Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,101.0,75.0
624,1245899,4667,312310,Tamil Nadu,Theni,9.924066666666668,77.43458833333332,101.0,70.0
625,1942288,10219,505950,Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,99.0,72.0
626,1353445,5172,291400,Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,102.0,72.0
629,1870374,15673,465692,Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,98.0,83.0
630,1506843,3651,337972,Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,106.0,61.0
632,3458045,63273,896325,Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,100.0,76.0
634,55626,207,12859,Puducherry,Yanam,16.707695652173904,82.26187304347832,96.0,71.0
636,41816,574,7150,Puducherry,Mahe,12.006420793787758,75.28275021570326,84.0,87.0
637,200222,1868,47880,Puducherry,Karaikal,10.876161726078813,79.82369793621002,96.0,77.0
